global_product_id,source_platform_std,total_reviews,avg_rating,avg_sentiment_score,positive_reviews,negative_reviews,neutral_reviews,positive_sentiment_pct,negative_sentiment_pct,review_quality_score,active_days
tiki_515871,tiki,100,4.83,0.0,0,0,100,0.0,0.0,0.75,1
tiki_52297100,tiki,100,4.6,0.0,0,0,100,0.0,0.0,0.75,1
tiki_173058453,tiki,100,4.72,0.0,0,0,100,0.0,0.0,0.75,1
tiki_53545646,tiki,100,4.68,0.0,0,0,100,0.0,0.0,0.75,1
tiki_536965,tiki,100,4.45,0.0,0,0,100,0.0,0.0,0.75,1
tiki_53970712,tiki,100,4.0,0.0,0,0,100,0.0,0.0,0.75,1
tiki_515550,tiki,100,4.38,0.0,0,0,100,0.0,0.0,0.75,1
tiki_54393385,tiki,100,4.44,0.0,0,0,100,0.0,0.0,0.75,1
tiki_52665707,tiki,100,4.85,0.0,0,0,100,0.0,0.0,0.75,1
tiki_52674338,tiki,100,4.66,0.0,0,0,100,0.0,0.0,0.75,1
tiki_26602007,tiki,100,4.34,0.0,0,0,100,0.0,0.0,0.75,1
tiki_10090769,tiki,100,4.61,0.0,0,0,100,0.0,0.0,0.75,1
tiki_514927,tiki,100,4.77,0.0,0,0,100,0.0,0.0,0.75,1
tiki_23046907,tiki,100,3.9,0.0,0,0,100,0.0,0.0,0.75,1
tiki_174593840,tiki,100,4.45,0.0,0,0,100,0.0,0.0,0.75,1
tiki_174599595,tiki,100,4.68,0.0,0,0,100,0.0,0.0,0.75,1
tiki_23010613,tiki,100,3.77,0.0,0,0,100,0.0,0.0,0.75,1
tiki_10000461,tiki,100,3.9,0.0,0,0,100,0.0,0.0,0.75,1
tiki_550442,tiki,100,4.4,0.0,0,0,100,0.0,0.0,0.75,1
tiki_51286890,tiki,100,4.71,0.0,0,0,100,0.0,0.0,0.75,1
tiki_262792654,tiki,100,4.3,0.0,0,0,100,0.0,0.0,0.75,1
tiki_22631108,tiki,100,4.56,0.0,0,0,100,0.0,0.0,0.75,1
tiki_176898787,tiki,100,4.68,0.0,0,0,100,0.0,0.0,0.75,1
tiki_2732719,tiki,100,4.84,0.0,0,0,100,0.0,0.0,0.75,1
tiki_176899932,tiki,100,4.59,0.0,0,0,100,0.0,0.0,0.75,1
